# TIPE filtrage enceinte -- mesure d impedance
# DONNEES SYNTHETIQUES -- aucune mesure de l enceinte du projet.
# Engendrees par un modele BASS-REFLEX a 8 parametres (2 events) pour eprouver
# la chaine d analyse avant la premiere seance de banc. Ne jamais citer
# un chiffre issu de ce fichier comme un resultat de mesure.
# Le TYPE de caisse est un fait (constat de l etudiant du 2026-09-16) ;
# alpha, f_b et Q_l restent des ordres de grandeur [[a mesurer]].
# version_format: 1
# date: 2026-09-13T00:00
# dipole: SYNTHETIQUE -- 18 pouces 8 ohm en caisse BASS-REFLEX a 2 events, parametres TYPIQUES de datasheet (§ 01.13), PAS le HP du projet
# montage: C (GBF flottant, noeud milieu a la masse) -- simule
# R_ref_nominale_ohm: 100
# R_ref_mesuree_ohm: 100
# u_R_ref_relative_pct: 1.0
# u_systematique_relative_pct: 1.2
# niveau_Vd_RMS_V: 0.15
# temperature_C: 20
# operateur: genere par io_mesures.generer_exemple_synthetique
# appareil: AUCUN -- simulation numerique (modele_hp.Z_bassreflex8)
# Re_DC_avant_ohm: 5.4
# Re_DC_apres_ohm: 5.4
# bruit_simule: gaussien 1.4 % par voie sur les tensions, 1.5 deg (absolus) sur la phase
# fb_predit_Helmholtz_Hz: 35.0122
# geometrie_caisse: ILLUSTRATIVE [[a mesurer]] : V = 110 L, 2 events de 100 mm de diametre et 274 mm de long
# graine: 20260913
# parametres_du_modele: Re=5.4 ohm, Le=0.0019 H, Res=100 ohm, fs=40 Hz, Qms=6.1, alpha=3, fb=35 Hz, Ql=7
# statut_donnees: SYNTHETIQUES -- aucune mesure de l enceinte du projet
# type_caisse: bass-reflex, 2 events (constat de l etudiant, 2026-09-16)
f_Hz,V_dipole_V,V_Rref_V,dt_s,module_Z_ohm,phase_deg,u_module_alea_ohm,u_phase_deg
23.7137371,0.152542968,1.80328734,-0.00385251965,8.45916036,-32.8887497,0.16748283,1.5
24.0349018,0.148068624,1.89709084,-0.00350497086,7.80503602,-30.326987,0.154531829,1.5
24.7399134,0.154768735,1.97855339,-0.00335020096,7.82231783,-29.8381253,0.154873992,1.5
25.1188643,0.151708851,1.99609052,-0.00305248532,7.60029918,-27.6029872,0.150478246,1.5
25.4656049,0.1492115,2.03371686,-0.00287318995,7.33688662,-26.3403072,0.145262944,1.5
26.212583,0.149462211,2.1389138,-0.00247773809,6.98776225,-23.3812495,0.138350634,1.5
26.6072506,0.152007316,2.1787921,-0.00242616488,6.97667831,-23.2392877,0.138131183,1.5
26.9814722,0.152265448,2.17801223,-0.00234570965,6.99102814,-22.7846519,0.138415295,1.5
27.772915,0.152317529,2.23534724,-0.00169720433,6.81404328,-16.9690722,0.134911174,1.5
28.1838293,0.148143574,2.22431073,-0.00169988439,6.66020139,-17.2473305,0.13186526,1.5
28.587573,0.153273721,2.35285105,-0.00161795715,6.51438266,-16.6512485,0.128978196,1.5
29.4261273,0.148838897,2.37880053,-0.00116273837,6.2568885,-12.3173595,0.123880072,1.5
29.8538262,0.14913139,2.37717472,-0.00104488621,6.273472,-11.2297864,0.124208409,1.5
30.2892787,0.150222845,2.34214368,-0.000742430207,6.41390389,-8.09556318,0.126988818,1.5
31.1777489,0.150330909,2.43375626,-0.00044592945,6.17690898,-5.0051075,0.122296558,1.5
31.6227766,0.151228016,2.41784189,-0.000244350303,6.25466937,-2.78173262,0.123836136,1.5
32.0922803,0.153538501,2.44061243,-0.000198476758,6.29098249,-2.29304583,0.124555099,1.5
33.0336376,0.151090206,2.39664365,-0.000186586578,6.30424161,-2.21890802,0.124817616,1.5
33.4965439,0.145256773,2.49094002,0.000155485141,5.83140387,1.87495734,0.115455906,1.5
34.0026075,0.147739189,2.49206496,0.000201822534,5.92838436,2.47049727,0.117376022,1.5
35,0.152708267,2.51755806,0.000121227031,6.06572971,1.52746059,0.120095321,1.5
35.4813389,0.145537038,2.49470584,0.000490129314,5.83383562,6.26055995,0.115504052,1.5
36.0266489,0.150169918,2.45905398,0.00063052934,6.10681668,8.1777093,0.120908802,1.5
37.0834123,0.151128714,2.42057631,0.000666958884,6.24350132,8.90392006,0.123615019,1.5
37.5837404,0.147281103,2.40952025,0.000606557802,6.11246588,8.20681596,0.12102065,1.5
38.1711735,0.147976494,2.38467609,0.00087886161,6.20530792,12.0769844,0.122858829,1.5
39.2908419,0.150780096,2.38748688,0.00100012471,6.31543142,14.1464671,0.125039163,1.5
39.8107171,0.14548911,2.33529778,0.000924069865,6.2300025,13.2436382,0.123347756,1.5
40.4433533,0.148533823,2.35147123,0.00113810249,6.31663364,16.5703252,0.125062966,1.5
41.6296711,0.151133384,2.34885717,0.00132544193,6.43433692,19.8639761,0.127393372,1.5
42.1696503,0.147643606,2.34317957,0.00151829155,6.3009941,23.0492966,0.124753318,1.5
42.8507869,0.148369899,2.28353031,0.00135308491,6.49739126,20.8730712,0.128641784,1.5
44.1077216,0.152244966,2.22170609,0.00143327434,6.85261503,22.7586476,0.135674856,1.5
44.6683592,0.146157667,2.21388093,0.00151405641,6.60187571,24.3469497,0.13071047,1.5
45.4015256,0.149738352,2.15089524,0.00162886234,6.96167573,26.6230208,0.137834147,1.5
46.7332806,0.149885267,2.084837,0.00173069003,7.1893039,29.1170962,0.142340955,1.5
47.3151259,0.150220797,2.05628436,0.00175719642,7.30544861,29.9311091,0.144640503,1.5
48.1040998,0.149421215,2.06177362,0.0017824238,7.2472173,30.8670812,0.143487582,1.5
49.5151289,0.152404861,1.9711975,0.00184668939,7.73158758,32.9180628,0.153077624,1.5
50.1187234,0.147891814,1.95272845,0.00176944759,7.57359858,31.9256836,0.149949602,1.5
50.9675475,0.148852287,1.89151472,0.00199543659,7.8694755,36.6129034,0.155807666,1.5
52.4625697,0.154304807,1.82945556,0.00210760781,8.43446601,39.8053878,0.166993907,1.5
53.0884444,0.150132016,1.78510812,0.00190037856,8.41024779,36.3197309,0.166514411,1.5
54.0014451,0.152446025,1.72100299,0.00194276589,8.8579756,37.7683796,0.175378969,1.5
55.58546,0.152737603,1.69895233,0.00196962441,8.99010529,39.4136925,0.177995004,1.5
56.2341325,0.149761903,1.61520544,0.0022349573,9.27200339,45.2451187,0.183576301,1.5
57.2159386,0.149662371,1.59884058,0.00228267871,9.36068132,47.0180178,0.185332035,1.5
58.8942437,0.151927097,1.44362458,0.00210632576,10.5240032,44.6581666,0.208364633,1.5
59.5662144,0.14948269,1.4057488,0.00230489317,10.6336701,49.4257537,0.210535926,1.5
60.6217783,0.150386214,1.37963341,0.00219604758,10.9004474,47.9261914,0.215817848,1.5
62.3999863,0.150781458,1.28697152,0.00208206438,11.7159902,46.771484,0.231964772,1.5
63.0957344,0.153434347,1.20745239,0.00221018214,12.7072792,50.2031036,0.251591292,1.5
64.2303542,0.152669453,1.19211279,0.00227591667,12.8066282,52.6258561,0.253558302,1.5
66.1144119,0.148036392,1.06205662,0.00239681448,13.9386535,57.0470326,0.275971259,1.5
66.8343918,0.149207467,1.04323128,0.00224300758,14.3024342,53.9676171,0.28317375,1.5
68.0537344,0.151722205,0.984682553,0.00207276512,15.4082353,50.7813865,0.305067494,1.5
70.0499427,0.151005744,0.865586755,0.00206556465,17.4454776,52.0893667,0.345402835,1.5
70.7945784,0.150264681,0.810707572,0.00214284862,18.535004,54.6127432,0.366974356,1.5
72.1047054,0.149212876,0.739680192,0.0019415371,20.1726202,50.3978258,0.399397503,1.5
74.2197401,0.148682222,0.637113006,0.00205616111,23.3368681,54.9387875,0.462046415,1.5
74.9894209,0.149211854,0.594534448,0.00194311399,25.0972596,52.4566774,0.496900388,1.5
76.3968147,0.148431623,0.542299936,0.00192661692,27.3707616,52.9874624,0.541913431,1.5
78.6377491,0.151826193,0.434889685,0.0017697865,34.9114265,50.1019295,0.691210979,1.5
79.4328235,0.148427047,0.402151971,0.0015929505,36.9081983,45.55172,0.730745044,1.5
80.9444165,0.149117344,0.339252423,0.00138667602,43.9546879,40.4077253,0.87025842,1.5
83.3187449,0.152473733,0.264302895,0.000837207531,57.6890138,25.1118291,1.1421842,1.5
84.1395142,0.149977994,0.247095183,0.000624095647,60.6964458,18.9039976,1.20172832,1.5
85.7627191,0.152229333,0.239420685,3.21258124e-05,63.5823645,0.991870927,1.25886659,1.5
88.2783819,0.146604878,0.257267053,-0.000767903958,56.9854848,-24.4041548,1.12825504,1.5
89.1250938,0.14998753,0.278740037,-0.00100252258,53.8091087,-32.1659709,1.065366,1.5
90.8678362,0.148935305,0.332030848,-0.00128137131,44.8558637,-41.9167577,0.888100791,1.5
93.5332466,0.149033347,0.42245293,-0.00142112719,35.2780953,-47.8521502,0.698470651,1.5
94.4060876,0.148456232,0.461539404,-0.00162057983,32.1654512,-55.0773364,0.636843442,1.5
96.2768409,0.149078244,0.531721576,-0.00147510092,28.0368995,-51.1265003,0.555102288,1.5
99.1009127,0.150001436,0.643039624,-0.00165763973,23.3269351,-59.1384995,0.461849752,1.5
100,0.152228727,0.665669133,-0.00164884958,22.8685273,-59.3585849,0.45277374,1.5
102.007822,0.149636784,0.739049609,-0.00154938723,20.2471907,-56.8978624,0.400873923,1.5
105,0.149063516,0.847839163,-0.00154051959,17.5815794,-58.2316406,0.348097513,1.5
105.925373,0.150026542,0.904137814,-0.00154663122,16.5933268,-58.9778956,0.328531109,1.5
112.201845,0.151106836,1.12039156,-0.00136568598,13.4869666,-55.1636954,0.267028315,1.5
118.850223,0.14918604,1.33878569,-0.00126681771,11.1433847,-54.202164,0.22062776,1.5
125.892541,0.149752628,1.53187832,-0.00111159347,9.77575216,-50.3788774,0.193550018,1.5
133.352143,0.15278274,1.6951217,-0.000948198752,9.01308383,-45.5199609,0.178449956,1.5
141.253754,0.149228183,1.89002117,-0.000845941316,7.89558261,-43.0172593,0.15632456,1.5
149.623566,0.152398171,2.05051547,-0.000670944753,7.43218833,-36.1400926,0.147149821,1.5
158.489319,0.149970107,2.12505464,-0.000575555887,7.05723536,-32.8390058,0.139726131,1.5
167.880402,0.152004838,2.28095026,-0.000468298728,6.66410136,-28.3025443,0.131942475,1.5
177.827941,0.150057879,2.42324385,-0.000355518499,6.19243826,-22.7596042,0.122604022,1.5
188.364909,0.148067492,2.53038975,-0.000259243303,5.85156862,-17.5796428,0.115855148,1.5
199.526231,0.148073751,2.58272204,-0.000195187548,5.73324378,-14.0202129,0.113512436,1.5
211.348904,0.149794119,2.62953297,-0.000135737438,5.69660547,-10.3276652,0.112787034,1.5
223.872114,0.15015723,2.69785164,-0.000114417316,5.56580754,-9.22134474,0.110197367,1.5
237.137371,0.152257319,2.72565926,-2.00582752e-05,5.58607312,-1.71236399,0.110598605,1.5
251.188643,0.149311085,2.76540196,2.88369416e-06,5.39925433,0.26076644,0.106899782,1.5
266.072506,0.149272344,2.81587455,3.5612413e-05,5.30110064,3.41117423,0.104956438,1.5
281.838293,0.151386604,2.68969115,0.000104076233,5.62840102,10.5597604,0.111436655,1.5
298.538262,0.152294602,2.633268,0.000126115766,5.78348282,13.5541373,0.114507118,1.5
316.227766,0.150013814,2.67854601,0.000151102573,5.60056885,17.2018185,0.110885606,1.5
334.965439,0.147934844,2.54644129,0.000157048114,5.80947399,18.9380486,0.115021717,1.5
354.813389,0.148963592,2.56026704,0.000169602682,5.8182834,21.6638288,0.115196134,1.5
375.837404,0.148895342,2.53601837,0.000187045777,5.87122492,25.3075678,0.116244323,1.5
398.107171,0.150957504,2.37769775,0.000215457918,6.34889375,30.8791231,0.125701683,1.5
421.696503,0.146768005,2.3500543,0.000208581746,6.24530269,31.6649495,0.123650685,1.5
446.683592,0.148352731,2.21546534,0.000220440527,6.69623347,35.4481799,0.132578659,1.5
473.151259,0.153349697,2.19820536,0.000236759062,6.97613152,40.3282254,0.138120357,1.5
501.187234,0.152200636,2.08342334,0.00021729279,7.30531494,39.2055741,0.144637857,1.5
530.884444,0.149857603,2.10241958,0.000220058133,7.12786377,42.0571583,0.141124503,1.5
562.341325,0.151563113,1.962895,0.000211176858,7.72140706,42.7512507,0.15287606,1.5
595.662144,0.150965578,1.87240618,0.000230916833,8.06265115,49.5174297,0.159632348,1.5
630.957344,0.151402405,1.77734036,0.000228190068,8.51848122,51.8321519,0.168657323,1.5
668.343918,0.149865013,1.6861811,0.000219403656,8.88783614,52.7893557,0.175970178,1.5
707.945784,0.153855272,1.59277105,0.000224385331,9.65959748,57.1869536,0.191250273,1.5
749.894209,0.149166753,1.53135923,0.000206300086,9.74080737,55.6931665,0.192858146,1.5
794.328235,0.151992957,1.47093914,0.000194899998,10.3330555,55.7332456,0.204584061,1.5
841.395142,0.148122658,1.37414328,0.000197337482,10.7792732,59.7739676,0.213418721,1.5
891.250938,0.148566109,1.35459755,0.000193697096,10.967546,62.1477786,0.217146332,1.5
944.060876,0.150469678,1.27327639,0.000177053513,11.8175189,60.173746,0.233974937,1.5
1000,0.149623874,1.20010848,0.000180471787,12.4675291,64.9698432,0.246844483,1.5
